location_name,reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,quantile
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.01,226,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.025,302,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.05,429,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.1,638,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.15,823,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.2,927,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.25,1041,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.3,1169,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.35,1266,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.4,1397,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.45,1590,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.5,1692,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.55,1871,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.6,2103,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.65,2294,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.7,2528,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.75,2780,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.8,3075,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.85,3475,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.9,3924,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.95,4953,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.975,5837,NA
US,2025-11-15,wk inc flu hosp,0,2025-11-15,US,quantile,0.99,6658,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.01,321,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.025,392,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.05,662,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.1,946,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.15,1128,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.2,1311,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.25,1493,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.3,1675,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.35,1868,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.4,2042,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.45,2186,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.5,2380,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.55,2737,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.6,2987,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.65,3235,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.7,3540,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.75,3874,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.8,4281,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.85,4785,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.9,5628,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.95,6623,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.975,8200,NA
US,2025-11-15,wk inc flu hosp,1,2025-11-22,US,quantile,0.99,10078,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.01,300,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.025,440,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.05,768,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.1,1049,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.15,1374,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.2,1596,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.25,1820,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.3,2130,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.35,2355,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.4,2589,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.45,2830,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.5,3014,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.55,3345,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.6,3736,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.65,4178,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.7,4572,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.75,5250,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.8,5989,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.85,6680,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.9,7741,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.95,10049,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.975,12727,NA
US,2025-11-15,wk inc flu hosp,2,2025-11-29,US,quantile,0.99,14384,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.01,342,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.025,626,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.05,887,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.1,1295,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.15,1607,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.2,1867,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.25,2222,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.3,2622,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.35,2910,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.4,3329,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.45,3682,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.5,4048,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.55,4577,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.6,5339,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.65,6038,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.7,6781,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.75,7662,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.8,8824,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.85,9961,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.9,11351,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.95,15733,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.975,20643,NA
US,2025-11-15,wk inc flu hosp,3,2025-12-06,US,quantile,0.99,26189,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.01,627,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.025,988,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.05,1331,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.1,1804,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.15,2230,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.2,2670,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.25,3134,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.3,3745,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.35,4369,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.4,4873,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.45,5528,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.5,6268,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.55,6880,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.6,7800,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.65,8802,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.7,9496,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.75,10694,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.8,11938,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.85,13819,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.9,17210,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.95,23207,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.975,31568,NA
US,2025-11-15,wk inc flu hosp,4,2025-12-13,US,quantile,0.99,43784,NA
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.01,11.31,0.01
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.025,13,0.025
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.05,14,0.05
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.1,15,0.1
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.15,16,0.15
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.2,16,0.2
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.25,17,0.25
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.3,17,0.3
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.35,18,0.35
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.4,19,0.4
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.45,20,0.45
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.5,20,0.5
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.55,21,0.55
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.6,21,0.6
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.65,22,0.65
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.7,23,0.7
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.75,23,0.75
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.8,24,0.8
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.85,24,0.85
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.9,25,0.9
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.95,26,0.95
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.975,26,0.975
US,2025-11-15,seasonal_peak_week,NA,NA,US,quantile,0.99,26,0.99
US,2025-11-15,seasonal_peak_inc flu hosp,NA,NA,US,quantile,0.01,8375.78,0.01
US,2025-11-15,seasonal_peak_inc flu hosp,NA,NA,US,quantile,0.025,12165.300000000001,0.025
